File headers
--------------------------------------------------------------------------------
/Users/zong/template/data/output/data_cleaned.csv
--------------------------------------------------------------------------------
,Unnamed: 0,county_id,year,chips_sold,year_tv_introduced
0,0.0,1.0,1940.0,265508.6631421,1951.0
1,1.0,1.0,1941.0,275508.6631421,1951.0
2,2.0,1.0,1942.0,285508.6631421,1951.0
3,3.0,1.0,1943.0,295508.6631421,1951.0
4,4.0,1.0,1944.0,305508.6631421,1951.0
5,5.0,1.0,1945.0,315508.6631421,1951.0
6,6.0,1.0,1946.0,325508.6631421,1951.0
7,7.0,1.0,1947.0,335508.6631421,1951.0
8,8.0,1.0,1948.0,345508.6631421,1951.0
--------------------------------------------------------------------------------
